Week ending,Jurisdiction,Age group,Cumulative number of people who have received at least 1 dose,Cumulative number of people who have completed the primary series,"Cumulative number of people who, in the last months, have completed the primary series or received a booster dose",Cumulative percent of people who have received at least 1 dose,Cumulative percent of people who have completed the primary series,"Cumulative percent of people who, in the last months, have completed the primary series or received a booster dose"
2021-05-15,New Brunswick,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,New Brunswick,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,New Brunswick,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Quebec,Total population,"4,073,258","354,475",n/a,47.30%,4.10%,n/a
2021-05-15,Quebec,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Quebec,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Quebec,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Ontario,Total population,"6,638,361","429,868",n/a,44.80%,2.90%,n/a
2021-05-15,Ontario,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Ontario,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Ontario,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Manitoba,Total population,"560,533","80,883",n/a,40.50%,5.80%,n/a
2021-05-15,Manitoba,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Manitoba,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Manitoba,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Saskatchewan,Total population,"554,330","48,811",n/a,47.00%,4.10%,n/a
2021-05-15,Saskatchewan,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Saskatchewan,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Saskatchewan,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Alberta,Total population,"1,850,072","320,274",n/a,41.60%,7.20%,n/a
2021-05-15,Alberta,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Alberta,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Alberta,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,British Columbia,Total population,"2,393,401","130,430",n/a,45.90%,2.50%,n/a
2021-05-15,British Columbia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,British Columbia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,British Columbia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Yukon,Total population,"26,242","23,236",n/a,60.90%,53.90%,n/a
2021-05-15,Yukon,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Yukon,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Yukon,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Northwest Territories,Total population,"28,358","22,956",n/a,65.20%,52.80%,n/a
2021-05-15,Northwest Territories,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Northwest Territories,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Northwest Territories,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Nunavut,Total population,"16,708","13,302",n/a,42.40%,33.80%,n/a
2021-05-15,Nunavut,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Nunavut,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-15,Nunavut,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Canada,Total population,"19,234,008","1,754,887",n/a,50.30%,4.60%,n/a
2021-05-22,Canada,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Canada,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Canada,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Newfoundland and Labrador,Total population,"260,190","10,459",n/a,50.00%,2.00%,n/a
2021-05-22,Newfoundland and Labrador,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Newfoundland and Labrador,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Newfoundland and Labrador,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Prince Edward Island,Total population,"71,421","12,299",n/a,43.50%,7.50%,n/a
2021-05-22,Prince Edward Island,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Prince Edward Island,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Prince Edward Island,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Nova Scotia,Total population,"460,948","41,453",n/a,46.50%,4.20%,n/a
2021-05-22,Nova Scotia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Nova Scotia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Nova Scotia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,New Brunswick,Total population,"386,997","36,909",n/a,49.00%,4.70%,n/a
2021-05-22,New Brunswick,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,New Brunswick,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,New Brunswick,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Quebec,Total population,"4,602,209","446,963",n/a,53.50%,5.20%,n/a
2021-05-22,Quebec,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Quebec,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Quebec,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Ontario,Total population,"7,537,294","532,103",n/a,50.80%,3.60%,n/a
2021-05-22,Ontario,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Ontario,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Ontario,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Manitoba,Total population,"643,349","86,795",n/a,46.50%,6.30%,n/a
2021-05-22,Manitoba,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Manitoba,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Manitoba,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Saskatchewan,Total population,"604,784","58,190",n/a,51.30%,4.90%,n/a
2021-05-22,Saskatchewan,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Saskatchewan,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Saskatchewan,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Alberta,Total population,"1,854,382","320,916",n/a,41.70%,7.20%,n/a
2021-05-22,Alberta,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Alberta,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Alberta,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,British Columbia,Total population,"2,739,776","147,620",n/a,52.50%,2.80%,n/a
2021-05-22,British Columbia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,British Columbia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,British Columbia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Yukon,Total population,"26,731","23,727",n/a,62.00%,55.00%,n/a
2021-05-22,Yukon,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Yukon,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Yukon,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Northwest Territories,Total population,"28,897","23,344",n/a,66.50%,53.70%,n/a
2021-05-22,Northwest Territories,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Northwest Territories,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Northwest Territories,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Nunavut,Total population,"17,030","14,109",n/a,43.20%,35.80%,n/a
2021-05-22,Nunavut,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Nunavut,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-22,Nunavut,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Canada,Total population,"21,582,629","2,169,412",n/a,56.40%,5.70%,n/a
2021-05-29,Canada,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Canada,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Canada,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Newfoundland and Labrador,Total population,"290,038","11,446",n/a,55.70%,2.20%,n/a
2021-05-29,Newfoundland and Labrador,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Newfoundland and Labrador,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Newfoundland and Labrador,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Prince Edward Island,Total population,"79,894","13,430",n/a,48.60%,8.20%,n/a
2021-05-29,Prince Edward Island,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Prince Edward Island,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Prince Edward Island,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Nova Scotia,Total population,"537,868","43,461",n/a,54.20%,4.40%,n/a
2021-05-29,Nova Scotia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Nova Scotia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Nova Scotia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,New Brunswick,Total population,"432,202","40,896",n/a,54.80%,5.20%,n/a
2021-05-29,New Brunswick,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,New Brunswick,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,New Brunswick,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Quebec,Total population,"5,077,148","558,178",n/a,59.00%,6.50%,n/a
2021-05-29,Quebec,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Quebec,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Quebec,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Ontario,Total population,"8,298,869","689,636",n/a,56.00%,4.70%,n/a
2021-05-29,Ontario,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Ontario,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Ontario,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Manitoba,Total population,"728,662","105,636",n/a,52.70%,7.60%,n/a
2021-05-29,Manitoba,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Manitoba,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Manitoba,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Saskatchewan,Total population,"642,431","83,214",n/a,54.50%,7.10%,n/a
2021-05-29,Saskatchewan,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Saskatchewan,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Saskatchewan,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Alberta,Total population,"2,357,833","379,920",n/a,53.10%,8.60%,n/a
2021-05-29,Alberta,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Alberta,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Alberta,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,British Columbia,Total population,"3,063,827","180,584",n/a,58.80%,3.50%,n/a
2021-05-29,British Columbia,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,British Columbia,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,British Columbia,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Yukon,Total population,"27,042","24,149",n/a,62.70%,56.00%,n/a
2021-05-29,Yukon,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Yukon,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Yukon,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Northwest Territories,Total population,"29,585","23,919",n/a,68.10%,55.00%,n/a
2021-05-29,Northwest Territories,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Northwest Territories,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Northwest Territories,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Nunavut,Total population,"17,230","14,943",n/a,43.70%,37.90%,n/a
2021-05-29,Nunavut,5 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Nunavut,12 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-05-29,Nunavut,18 years and older,n/a,n/a,n/a,n/a,n/a,n/a
2021-06-05,Canada,Total population,"23,312,538","3,050,610",n/a,61.00%,8.00%,n/a
2021-06-05,Canada,5 years and older,"23,290,347","3,045,247",n/a,64.10%,8.40%,n/a
2021-06-05,Canada,12 years and older,"23,283,729","3,045,247",n/a,69.50%,9.10%,n/a
2021-06-05,Canada,18 years and older,"22,350,642","3,033,413",n/a,72.10%,9.80%,n/a
2021-06-05,Newfoundland and Labrador,Total population,"318,238","17,355",n/a,61.10%,3.30%,n/a
2021-06-05,Newfoundland and Labrador,5 years and older,"316,198","14,432",n/a,63.10%,2.90%,n/a
2021-06-05,Newfoundland and Labrador,12 years and older,"316,188","14,432",n/a,67.60%,3.10%,n/a
2021-06-05,Newfoundland and Labrador,18 years and older,"306,401","14,420",n/a,70.20%,3.30%,n/a
2021-06-05,Prince Edward Island,Total population,"89,833","14,426",n/a,54.70%,8.80%,n/a
2021-06-05,Prince Edward Island,5 years and older,"89,736","14,397",n/a,57.10%,9.20%,n/a
2021-06-05,Prince Edward Island,12 years and older,"89,736","14,397",n/a,61.70%,9.90%,n/a
2021-06-05,Prince Edward Island,18 years and older,"88,007","14,381",n/a,65.50%,10.70%,n/a
2021-06-05,Nova Scotia,Total population,"590,905","44,544",n/a,59.60%,4.50%,n/a
2021-06-05,Nova Scotia,5 years and older,"590,905","44,544",n/a,62.20%,4.70%,n/a
2021-06-05,Nova Scotia,12 years and older,"590,905","44,544",n/a,66.80%,5.00%,n/a
2021-06-05,Nova Scotia,18 years and older,"582,913","44,498",n/a,70.60%,5.40%,n/a
2021-06-05,New Brunswick,Total population,"484,525","47,139",n/a,61.40%,6.00%,n/a
2021-06-05,New Brunswick,5 years and older,"484,410","47,077",n/a,64.10%,6.20%,n/a
2021-06-05,New Brunswick,12 years and older,"484,410","47,077",n/a,69.00%,6.70%,n/a
2021-06-05,New Brunswick,18 years and older,"466,241","46,772",n/a,71.40%,7.20%,n/a
2021-06-05,Quebec,Total population,"5,529,418","713,548",n/a,64.30%,8.30%,n/a
2021-06-05,Quebec,5 years and older,"5,529,412","713,542",n/a,67.60%,8.70%,n/a
2021-06-05,Quebec,12 years and older,"5,529,412","713,542",n/a,73.40%,9.50%,n/a
2021-06-05,Quebec,18 years and older,"5,359,952","707,681",n/a,76.50%,10.10%,n/a
2021-06-05,Ontario,Total population,"8,963,082","1,033,695",n/a,60.50%,7.00%,n/a
2021-06-05,Ontario,5 years and older,"8,955,089","1,031,508",n/a,63.50%,7.30%,n/a
2021-06-05,Ontario,12 years and older,"8,955,089","1,031,508",n/a,68.70%,7.90%,n/a
2021-06-05,Ontario,18 years and older,"8,598,965","1,028,135",n/a,71.20%,8.50%,n/a
2021-06-05,Manitoba,Total population,"786,098","146,346",n/a,56.80%,10.60%,n/a
2021-06-05,Manitoba,5 years and older,"786,020","146,340",n/a,60.40%,11.20%,n/a
2021-06-05,Manitoba,12 years and older,"786,020","146,340",n/a,66.80%,12.40%,n/a
2021-06-05,Manitoba,18 years and older,"752,084","146,274",n/a,70.00%,13.60%,n/a
2021-06-05,Saskatchewan,Total population,"661,029","137,065",n/a,56.00%,11.60%,n/a
2021-06-05,Saskatchewan,5 years and older,"660,923","137,019",n/a,59.70%,12.40%,n/a
2021-06-05,Saskatchewan,12 years and older,"660,918","137,019",n/a,66.30%,13.70%,n/a
2021-06-05,Saskatchewan,18 years and older,"625,674","136,871",n/a,68.90%,15.10%,n/a
2021-06-05,Alberta,Total population,"2,511,236","519,870",n/a,56.50%,11.70%,n/a
2021-06-05,Alberta,5 years and older,"2,499,604","519,826",n/a,59.70%,12.40%,n/a
2021-06-05,Alberta,12 years and older,"2,499,604","519,826",n/a,65.90%,13.70%,n/a
2021-06-05,Alberta,18 years and older,"2,331,191","518,324",n/a,67.20%,14.90%,n/a
2021-06-05,British Columbia,Total population,"3,307,406","315,661",n/a,63.40%,6.10%,n/a
2021-06-05,British Columbia,5 years and older,"3,307,406","315,661",n/a,66.30%,6.30%,n/a
2021-06-05,British Columbia,12 years and older,"3,300,803","315,661",n/a,71.10%,6.80%,n/a
2021-06-05,British Columbia,18 years and older,"3,170,257","315,237",n/a,73.00%,7.30%,n/a
2021-06-05,Yukon,Total population,"27,306","24,559",n/a,63.30%,57.00%,n/a
2021-06-05,Yukon,5 years and older,"27,199","24,504",n/a,66.50%,59.90%,n/a
2021-06-05,Yukon,12 years and older,"27,199","24,504",n/a,72.40%,65.30%,n/a
2021-06-05,Yukon,18 years and older,"27,199","24,504",n/a,78.00%,70.30%,n/a
2021-06-05,Northwest Territories,Total population,"25,659","21,352",n/a,59.00%,49.10%,n/a
2021-06-05,Northwest Territories,5 years and older,"25,647","21,352",n/a,63.10%,52.50%,n/a
2021-06-05,Northwest Territories,12 years and older,"25,647","21,352",n/a,70.10%,58.40%,n/a
2021-06-05,Northwest Territories,18 years and older,"23,960","21,271",n/a,72.20%,64.10%,n/a
2021-06-05,Nunavut,Total population,"17,803","15,050",n/a,45.20%,38.20%,n/a
2021-06-05,Nunavut,5 years and older,"17,798","15,045",n/a,50.40%,42.60%,n/a
2021-06-05,Nunavut,12 years and older,"17,798","15,045",n/a,60.50%,51.10%,n/a
2021-06-05,Nunavut,18 years and older,"17,798","15,045",n/a,71.20%,60.20%,n/a
2021-06-12,Canada,Total population,"24,407,824","4,871,464",n/a,63.80%,12.70%,n/a
2021-06-12,Canada,5 years and older,"24,385,476","4,868,349",n/a,67.10%,13.40%,n/a
2021-06-12,Canada,12 years and older,"24,376,968","4,868,348",n/a,72.80%,14.50%,n/a
2021-06-12,Canada,18 years and older,"23,095,416","4,841,688",n/a,74.50%,15.60%,n/a
2021-06-12,Newfoundland and Labrador,Total population,"343,290","25,870",n/a,65.90%,5.00%,n/a
2021-06-12,Newfoundland and Labrador,5 years and older,"342,397","25,664",n/a,68.30%,5.10%,n/a
2021-06-12,Newfoundland and Labrador,12 years and older,"342,386","25,664",n/a,73.20%,5.50%,n/a
2021-06-12,Newfoundland and Labrador,18 years and older,"328,810","25,617",n/a,75.40%,5.90%,n/a
2021-06-12,Prince Edward Island,Total population,"99,359","17,320",n/a,60.50%,10.50%,n/a
2021-06-12,Prince Edward Island,5 years and older,"99,261","17,287",n/a,63.10%,11.00%,n/a
2021-06-12,Prince Edward Island,12 years and older,"99,261","17,287",n/a,68.30%,11.90%,n/a
2021-06-12,Prince Edward Island,18 years and older,"95,726","17,269",n/a,71.20%,12.80%,n/a
2021-06-12,Nova Scotia,Total population,"644,668","50,863",n/a,65.00%,5.10%,n/a
2021-06-12,Nova Scotia,5 years and older,"644,668","50,863",n/a,67.80%,5.40%,n/a
2021-06-12,Nova Scotia,12 years and older,"644,668","50,863",n/a,72.90%,5.80%,n/a
2021-06-12,Nova Scotia,18 years and older,"624,909","50,798",n/a,75.60%,6.10%,n/a
2021-06-12,New Brunswick,Total population,"510,205","76,439",n/a,64.60%,9.70%,n/a
2021-06-12,New Brunswick,5 years and older,"510,093","76,377",n/a,67.50%,10.10%,n/a
2021-06-12,New Brunswick,12 years and older,"510,088","76,377",n/a,72.70%,10.90%,n/a
2021-06-12,New Brunswick,18 years and older,"483,565","76,003",n/a,74.00%,11.60%,n/a
2021-06-12,Quebec,Total population,"5,809,725","1,060,064",n/a,67.50%,12.30%,n/a
2021-06-12,Quebec,5 years and older,"5,809,725","1,060,064",n/a,71.00%,13.00%,n/a
2021-06-12,Quebec,12 years and older,"5,809,725","1,060,064",n/a,77.10%,14.10%,n/a
2021-06-12,Quebec,18 years and older,"5,496,203","1,047,835",n/a,78.50%,15.00%,n/a
2021-06-12,Ontario,Total population,"9,413,440","1,799,775",n/a,63.50%,12.10%,n/a
2021-06-12,Ontario,5 years and older,"9,405,386","1,797,290",n/a,66.60%,12.70%,n/a
2021-06-12,Ontario,12 years and older,"9,405,386","1,797,290",n/a,72.10%,13.80%,n/a
2021-06-12,Ontario,18 years and older,"8,934,864","1,790,429",n/a,74.00%,14.80%,n/a
2021-06-12,Manitoba,Total population,"825,173","200,869",n/a,59.60%,14.50%,n/a
2021-06-12,Manitoba,5 years and older,"825,099","200,863",n/a,63.40%,15.40%,n/a
2021-06-12,Manitoba,12 years and older,"825,099","200,863",n/a,70.20%,17.10%,n/a
2021-06-12,Manitoba,18 years and older,"779,027","200,274",n/a,72.50%,18.60%,n/a
2021-06-12,Saskatchewan,Total population,"680,912","210,224",n/a,57.70%,17.80%,n/a
2021-06-12,Saskatchewan,5 years and older,"680,757","210,152",n/a,61.50%,19.00%,n/a
2021-06-12,Saskatchewan,12 years and older,"680,738","210,152",n/a,68.30%,21.10%,n/a
2021-06-12,Saskatchewan,18 years and older,"637,308","209,922",n/a,70.20%,23.10%,n/a
2021-06-12,Alberta,Total population,"2,589,472","753,168",n/a,58.30%,17.00%,n/a
2021-06-12,Alberta,5 years and older,"2,576,700","753,015",n/a,61.60%,18.00%,n/a
2021-06-12,Alberta,12 years and older,"2,576,700","753,015",n/a,68.00%,19.90%,n/a
2021-06-12,Alberta,18 years and older,"2,395,799","748,435",n/a,69.10%,21.60%,n/a
2021-06-12,British Columbia,Total population,"3,419,622","613,871",n/a,65.60%,11.80%,n/a
2021-06-12,British Columbia,5 years and older,"3,419,622","613,871",n/a,68.50%,12.30%,n/a
2021-06-12,British Columbia,12 years and older,"3,411,149","613,870",n/a,73.40%,13.20%,n/a
2021-06-12,British Columbia,18 years and older,"3,249,376","613,136",n/a,74.90%,14.10%,n/a
2021-06-12,Yukon,Total population,"27,595","25,060",n/a,64.00%,58.10%,n/a
2021-06-12,Yukon,5 years and older,"27,470","24,986",n/a,67.20%,61.10%,n/a
2021-06-12,Yukon,12 years and older,"27,470","24,986",n/a,73.10%,66.50%,n/a
2021-06-12,Yukon,18 years and older,"27,470","24,986",n/a,78.80%,71.70%,n/a
2021-06-12,Northwest Territories,Total population,"26,114","22,555",n/a,60.10%,51.90%,n/a
2021-06-12,Northwest Territories,5 years and older,"26,067","22,537",n/a,64.10%,55.40%,n/a
2021-06-12,Northwest Territories,12 years and older,"26,067","22,537",n/a,71.30%,61.60%,n/a
2021-06-12,Northwest Territories,18 years and older,"24,128","21,604",n/a,72.70%,65.10%,n/a
2021-06-12,Nunavut,Total population,"18,249","15,386",n/a,46.30%,39.00%,n/a
2021-06-12,Nunavut,5 years and older,"18,231","15,380",n/a,51.60%,43.50%,n/a
2021-06-12,Nunavut,12 years and older,"18,231","15,380",n/a,61.90%,52.30%,n/a
2021-06-12,Nunavut,18 years and older,"18,231","15,380",n/a,73.00%,61.50%,n/a
2021-06-19,Canada,Total population,"25,037,555","7,331,328",n/a,65.50%,19.20%,n/a
2021-06-19,Canada,5 years and older,"25,015,569","7,326,230",n/a,68.80%,20.10%,n/a
2021-06-19,Canada,12 years and older,"25,006,264","7,326,224",n/a,74.70%,21.90%,n/a
2021-06-19,Canada,18 years and older,"23,526,777","7,272,475",n/a,75.90%,23.40%,n/a
2021-06-19,Newfoundland and Labrador,Total population,"363,831","46,728",n/a,69.90%,9.00%,n/a
2021-06-19,Newfoundland and Labrador,5 years and older,"363,133","45,259",n/a,72.50%,9.00%,n/a
2021-06-19,Newfoundland and Labrador,12 years and older,"363,115","45,259",n/a,77.60%,9.70%,n/a
2021-06-19,Newfoundland and Labrador,18 years and older,"344,749","45,149",n/a,79.00%,10.30%,n/a
2021-06-19,Prince Edward Island,Total population,"108,958","20,072",n/a,66.30%,12.20%,n/a
2021-06-19,Prince Edward Island,5 years and older,"108,898","20,045",n/a,69.30%,12.70%,n/a
2021-06-19,Prince Edward Island,12 years and older,"108,898","20,045",n/a,74.90%,13.80%,n/a
2021-06-19,Prince Edward Island,18 years and older,"102,564","20,024",n/a,76.30%,14.90%,n/a
2021-06-19,Nova Scotia,Total population,"687,356","82,726",n/a,69.30%,8.30%,n/a
2021-06-19,Nova Scotia,5 years and older,"687,355","82,725",n/a,72.30%,8.70%,n/a
2021-06-19,Nova Scotia,12 years and older,"687,355","82,725",n/a,77.70%,9.40%,n/a
2021-06-19,Nova Scotia,18 years and older,"650,444","82,652",n/a,78.70%,10.00%,n/a
2021-06-19,New Brunswick,Total population,"521,286","129,796",n/a,66.10%,16.40%,n/a
2021-06-19,New Brunswick,5 years and older,"521,178","129,727",n/a,68.90%,17.20%,n/a
2021-06-19,New Brunswick,12 years and older,"521,173","129,727",n/a,74.30%,18.50%,n/a
2021-06-19,New Brunswick,18 years and older,"492,562","129,285",n/a,75.40%,19.80%,n/a
2021-06-19,Quebec,Total population,"5,941,904","1,563,676",n/a,69.10%,18.20%,n/a
2021-06-19,Quebec,5 years and older,"5,941,904","1,563,676",n/a,72.60%,19.10%,n/a
2021-06-19,Quebec,12 years and older,"5,941,904","1,563,676",n/a,78.90%,20.80%,n/a
2021-06-19,Quebec,18 years and older,"5,564,716","1,547,786",n/a,79.50%,22.10%,n/a
2021-06-19,Ontario,Total population,"9,677,721","2,877,663",n/a,65.30%,19.40%,n/a
2021-06-19,Ontario,5 years and older,"9,670,643","2,874,905",n/a,68.50%,20.40%,n/a
2021-06-19,Ontario,12 years and older,"9,670,643","2,874,905",n/a,74.20%,22.10%,n/a
2021-06-19,Ontario,18 years and older,"9,123,758","2,854,532",n/a,75.60%,23.60%,n/a
2021-06-19,Manitoba,Total population,"849,464","285,105",n/a,61.40%,20.60%,n/a
2021-06-19,Manitoba,5 years and older,"849,371","285,098",n/a,65.30%,21.90%,n/a
2021-06-19,Manitoba,12 years and older,"849,371","285,098",n/a,72.20%,24.20%,n/a
2021-06-19,Manitoba,18 years and older,"798,461","283,305",n/a,74.30%,26.40%,n/a
2021-06-19,Saskatchewan,Total population,"698,071","287,107",n/a,59.20%,24.30%,n/a
2021-06-19,Saskatchewan,5 years and older,"697,898","287,036",n/a,63.00%,25.90%,n/a
2021-06-19,Saskatchewan,12 years and older,"697,873","287,036",n/a,70.00%,28.80%,n/a
2021-06-19,Saskatchewan,18 years and older,"648,671","286,206",n/a,71.50%,31.50%,n/a
2021-06-19,Alberta,Total population,"2,638,391","1,075,053",n/a,59.40%,24.20%,n/a
2021-06-19,Alberta,5 years and older,"2,624,944","1,074,551",n/a,62.70%,25.70%,n/a
2021-06-19,Alberta,12 years and older,"2,624,944","1,074,551",n/a,69.20%,28.30%,n/a
